Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C7, C8",1206,7,4.7uF,
"C10, C11, C12, C13, C16, C17",CP_EIA-3528-12_Kemet-T,6,10uF,
"C14, C15",1206,2,10uF,
"C6, C9",1206,2,1uF,
"D1, D2, D3",D_SOD-123,3,MBR0530,
J1,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,1,Conn_01x24_Pin,
L1,L_TDK_VLS6045EX_VLS6045AF,1,10uH,
L2,L_Chilisin_BMRB00050518-B,1,L, C5349679
"P1, P2, P3, P4",9774060360R,4,~,
Q1,SOT-323_SC-70,1,Si1308EDL,
"Q2, Q5",SOT-23,2,PNP, C5300004
"Q3, Q4",SOT-23,2,PMOS, C347476
R1,0805,1,470mOhm,
"R2, R3",0603,2,5.1k,C23186
"R4, R5, R6",0603,3,100k,C2906980
R7,0603,1,61.9k,C23091
R8,0603,1,20k,C4184
U1,RPi_Pico_SMD_TH,1,Pico,
U2,TYPE-C-SMD_USB4120-03-C,1,TYPE-C 16PLT-H10.0,
U3,SOT-23-5,1,TPS560200,C83671
