record,polled_utc,line,destination,arrival_utc,minutes_away
1,2025-05-07T16:05:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:07:27+00:00,2
2,2025-05-07T16:05:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,12
3,2025-05-07T16:05:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,22
4,2025-05-07T16:06:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:07:55+00:00,1
5,2025-05-07T16:06:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,11
6,2025-05-07T16:06:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,21
7,2025-05-07T16:07:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:07:55+00:00,0
8,2025-05-07T16:07:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,10
9,2025-05-07T16:07:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,20
10,2025-05-07T16:08:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,9
11,2025-05-07T16:08:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,19
12,2025-05-07T16:08:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,29
13,2025-05-07T16:09:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,8
14,2025-05-07T16:09:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,18
15,2025-05-07T16:09:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,28
16,2025-05-07T16:10:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,7
17,2025-05-07T16:10:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,17
18,2025-05-07T16:10:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,27
19,2025-05-07T16:11:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:30+00:00,6
20,2025-05-07T16:11:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,16
21,2025-05-07T16:11:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,26
22,2025-05-07T16:12:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:18:17+00:00,5
23,2025-05-07T16:12:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,15
24,2025-05-07T16:12:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,25
25,2025-05-07T16:13:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:37+00:00,4
26,2025-05-07T16:13:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,13
27,2025-05-07T16:13:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,23
28,2025-05-07T16:14:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:31+00:00,2
29,2025-05-07T16:14:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,12
30,2025-05-07T16:14:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,22
31,2025-05-07T16:15:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:45+00:00,2
32,2025-05-07T16:15:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:27:30+00:00,11
33,2025-05-07T16:15:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,21
34,2025-05-07T16:16:37+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:17:11+00:00,0
